,,,"All results are average of 3 runs with randomly selected few-shot sets (seeds 1, 2, 3).",,,,,,,,,,,,
Model,Method,Shots,OxfordPets,Flowers102,FGVCAircraft,DTD,EuroSAT,StanfordCars,Food101,SUN397,Caltech101,UCF101,ImageNet,AVERAGE ACCURACY,AVERAGE TRAINING TIME
RN-50,CLIP zero-shot,0,76.70±0.00 0:00:00,57.78±0.00 0:00:00,17.94±0.00 0:00:00,47.52±0.00 0:00:00,40.02±0.00 0:00:00,51.13±0.00 0:00:00,73.23±0.00 0:00:00,59.78±0.00 0:00:00,87.18±0.00 0:00:00,61.25±0.00 0:00:00,61.67±0.00 0:00:00,57.65,0:00:00
,CoOp,1,85.89,68.12,9.64,44.39,50.63,55.59,74.32,60.29,87.53,61.92,57.15,59.59,
,CLIP-Adapter,1,85.8,73.9,17.6,45.87,61.1,57.03,77.43,60.6,88.63,62.77,61.2,62.90,
,Tip-Adapter,1,86.02,73.2,18.81,46.28,54.43,57.38,77.42,61.27,87.26,62.73,60.68,62.32,
,Tip-Adapter-F,1,86.4,80.02,20.67,49.47,59.1,58.85,77.54,62.57,89.21,64.95,61.32,64.55,
,Tip-X,1,85.41,73.44,20.1,46.98,55.88,58.79,77.38,61.69,88.39,62.78,60.73,62.87,
,APE,1,86.26,79.62,20.85,52.66,59.79,59.57,77.59,64.37,90.47,63.26,62.04,65.13,
,APE-T,1,87.11,83.31,24.69,54.61,65.85,60.79,77.62,66.01,90.47,66.51,62.51,67.23,
,LDC,1,87.22±x x,79.98±x x,18.69±x x,50.12±x x,73.93±x x,56.97±x x,77.37±x x,62.58±x x,89.74±x x,66.83±x x,60.48±x x,65.81,#DIV/0!
,SeMoBridge,1,88.03±0.46 0:00:00,78.17±0.40 0:00:00,21.54±0.91 0:00:00,53.45±1.29 0:00:00,60.67±0.78 0:00:00,59.71±0.23 0:00:00,77.89±0.07 0:00:00,65.01±0.04 0:00:00,90.95±0.07 0:00:00,66.28±0.27 0:00:00,62.14±0.07 0:00:00,65.80,
,SeMoBridge-T,1,88.42±0.25 0:00:30,83.25±1.00 0:00:30,23.11±0.82 0:00:30,54.49±1.00 0:03:00,66.43±3.22 0:00:25,61.29±0.20 0:00:32,78.37±0.08 0:00:31,65.78±0.24 0:00:34,91.08±0.20 0:00:29,67.89±0.67 0:00:33,62.56±0.06 0:02:44,67.52,0:00:56
,CoOp,2,82.64,77.51,18.68,45.15,61.50,58.28,72.49,59.48,87.93,64.09,57.81,62.32,
